(268, 'PHY 1002', 'PHY-1006'),
(269, 'MAT 1900', 'PHY-1006'),
(270, 'PHY 1001', 'PHY-1007'),
(271, 'MAT 1910', 'PHY-1007'),
(272, 'BCM 1001', 'SBM-1004'),
(273, 'ECN 2901', 'GIN-3580'),
(274, 'GIN 2010', 'GIN-3580'),
(275, 'GIN 3020', 'GIN-3580'),
(276, 'GMC 1000', 'GIN-3580'),
(277, 'GSC 1000', 'GIN-3580'),
(278, 'GIN 3580', 'GIN-3591'),
(279, 'GIN 3590', 'GIN-3591'),
(280, 'GIN 3591', 'GIN-3592'),
(281, 'null', 'GIN-2010'),
(282, 'GIN 1500', 'GIN-2010'),
(283, 'null', 'GIN-2010'),
(284, 'STT 1900', 'GIN-2010'),
(285, 'null', 'GIN-2010'),
(286, 'GIN 1500', 'GIN-2010'),
(287, 'null', 'GIN-2010'),
(288, 'STT 1000', 'GIN-2010'),
(289, 'null', 'GIN-2010'),
(290, 'GMC 3009', 'GIN-2010'),
(291, 'null', 'GIN-2010'),
(292, 'STT 1900', 'GIN-2010'),
(293, 'null', 'GIN-2010'),
(294, 'GMC 3009', 'GIN-2010'),
(295, 'null', 'GIN-2010'),
(296, 'STT 1000', 'GIN-2010'),
(297, 'MAT 1900', 'GIN-3040'),
(298, 'GLO 1901', 'GIN-3040'),
(299, 'MAT 1900', 'MAT-1910'),
(300, 'MAT 1920', 'MAT-1910'),
(301, 'MAT 1910', 'GIN-2110'),
(302, 'GSO 1000', 'GSO-2100'),
(303, 'GSO 1100', 'GSO-2100'),
(304, 'GIN 2010', 'GSO-2100'),
(305, 'FOR 2017', 'GSO-2100'),
(306, 'FOR 3006', 'GSO-2100'),
(307, 'ECN 1150', 'GSO-2100'),
(308, 'MAT 1110', 'MAT-2910'),
(309, 'MAT 1900', 'MAT-2910'),
(310, 'PHY 1002', 'MAT-2910'),
(311, 'IFT 1903', 'MAT-2910'),
(312, 'GLO 1901', 'MAT-2910'),
(313, 'IFT 1004', 'MAT-2910'),
(314, 'IFT 1901', 'MAT-2910'),
(315, 'GIN 2110', 'GIN-3000'),
(316, 'GIN 2010', 'GIN-3010'),
(317, 'STT 1000', 'GIN-3020'),
(318, 'STT 1900', 'GIN-3020'),
(319, 'MQT 1101', 'MQT-2100'),
(320, 'GIN 2110', 'MQT-2100'),
(321, 'GRH 1501', 'RLT-3300'),
(322, 'RLT 2002', 'RLT-3300'),
(323, 'ECN 2901', 'GIN-3050'),
(324, 'GIN 2010', 'GIN-3050'),
(325, 'GIN 3020', 'GIN-3050'),
(326, 'GMC 1000', 'GIN-3050'),
(327, 'GSC 1000', 'GIN-3050'),
(328, 'GSO 2100', 'GIN-3050'),
(329, 'GIN 3010', 'GIN-3060'),
